id,text,label_1_M,label_2_F,label_3_M,label_4_M,label_5_F,label_6_M,label_7_F,label_8_M,label_9_F,label_10_F,label_11_M,label_12_M,label_13_F,label_14_M,label_15_M,label_16_F,label_17_M,label_18_F,label_19_F,label_20_F
77,[USER] bitch i dont even look like that keep talking and we going to fight,Hateful,Non-hateful,Non-hateful,Non-hateful,Hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Hateful,Hateful,Hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Hateful,Hateful
175,Good morning coons.,Hateful,Non-hateful,Hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Non-hateful,Non-hateful
91,[USER]: Happy birthday freshman faggots [USER] [USER],Hateful,Non-hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Non-hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Non-hateful,Non-hateful
199,"[USER] These Marxist kikes promoted Anti-Semitism by creating this film, what was their incentive? They just promote their enemies.",Hateful,Non-hateful,Non-hateful,Hateful,Non-hateful,Hateful,Non-hateful,Non-hateful,Non-hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Non-hateful,Non-hateful,Hateful,Hateful,Hateful,Hateful
45,"Gotta love rednecks. Loud, stupid, stubborn, and full o schitt.",Hateful,Hateful,Hateful,Non-hateful,Non-hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful
179,[USER] You are an ignorant cunt.,Hateful,Hateful,Hateful,Non-hateful,Hateful,Hateful,Non-hateful,Hateful,Non-hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful
52,"""poor whitey"" [URL]",Hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Non-hateful,Non-hateful,Non-hateful,Hateful,Non-hateful,Hateful,Non-hateful,Non-hateful,Hateful,Hateful,Non-hateful,Hateful
16,Nah nicca.. you GOT GAS! 😝😂😂😂 [USER]: [USER] 😂😂😂 blowing gas 😤,Hateful,Non-hateful,Non-hateful,Non-hateful,Hateful,Hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Hateful,Non-hateful,Non-hateful,Hateful
14,[USER]: [USER] man some lame niggah when I find him I'm unfollowing TF out his ass!,Hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Hateful,Non-hateful,Hateful,Non-hateful,Hateful,Hateful,Non-hateful,Hateful,Hateful
148,[USER]: Hank Baskett cheated with a tranny and just got a shoutout!,Hateful,Non-hateful,Hateful,Hateful,Non-hateful,Hateful,Non-hateful,Hateful,Non-hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Hateful,Hateful
